"Coin","Year","Germany","Netherlands","France","Ireland","Spain","Slovakia","Belgium","Greece","Italy","Latvia","Luxembourg","Austria","Finland","Cyprus"
0.01,1999,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.01,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2002,24,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2003,2,0,0,0,0,0,0,0,0,0,0,1,0,0
0.01,2004,15,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2005,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2007,8,0,0,0,0,0,1,0,0,0,0,0,0,0
0.01,2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2009,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2010,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2011,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2012,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2013,4,0,1,0,0,0,0,0,0,0,0,0,0,0
0.01,2014,6,0,0,0,0,0,0,0,0,0,1,0,0,0
0.01,2015,10,0,0,0,0,0,0,0,0,0,0,1,0,0
0.01,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2017,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2018,10,0,0,0,0,0,0,1,0,0,0,0,0,0
0.01,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2000,0,2,0,0,0,0,1,0,0,0,0,0,0,0
0.02,2001,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.02,2002,19,1,0,0,0,0,0,0,0,0,0,1,0,0
0.02,2003,7,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02,2004,6,1,1,0,0,0,0,0,0,0,1,1,0,0
0.02,2005,3,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02,2006,8,0,1,0,0,0,0,0,1,0,0,0,0,0
0.02,2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2008,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02,2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2010,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2012,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2013,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2014,9,0,1,0,0,0,0,0,0,0,0,0,0,0
0.02,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2016,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,2017,19,0,0,0,1,0,0,0,1,0,0,0,0,0
0.02,2018,19,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,1999,0,3,2,0,0,0,3,0,0,0,0,0,1,0
0.05,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2002,35,0,0,0,0,0,0,0,0,0,0,1,0,0
0.05,2003,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0.05,2004,7,0,1,0,0,0,0,0,0,0,0,0,0,0
0.05,2005,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2006,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.05,2007,5,1,0,0,1,0,0,0,0,0,0,0,0,0
0.05,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.05,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2010,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2015,3,0,0,0,0,0,0,0,0,0,0,2,0,0
0.05,2016,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2017,7,0,0,0,1,0,1,0,0,0,0,0,0,0
0.05,2018,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1999,0,1,0,0,4,0,1,0,0,0,0,0,0,0
0.1,2000,0,3,1,0,1,0,0,0,0,0,0,0,0,0
0.1,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1,2002,49,0,0,1,1,0,0,0,3,0,0,2,0,0
0.1,2003,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0.1,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1,2005,0,0,1,0,2,0,0,0,0,0,0,0,0,0
0.1,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1,2009,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0.1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2013,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0.1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2017,6,2,0,0,0,0,1,0,0,0,0,0,0,0
0.1,2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2019,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,1999,0,2,4,0,5,0,0,0,0,0,0,0,0,0
0.2,2000,0,2,1,0,2,0,3,0,0,0,0,0,0,0
0.2,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2002,20,0,0,2,2,0,0,1,5,0,1,3,0,0
0.2,2003,2,0,0,0,0,0,3,0,0,0,0,1,0,0
0.2,2004,1,0,0,0,0,0,1,0,0,0,1,1,0,0
0.2,2005,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2006,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2007,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2008,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,2009,3,0,1,0,1,1,0,0,0,0,1,1,0,0
0.2,2010,2,0,1,0,0,0,1,0,0,0,0,0,0,0
0.2,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2012,3,0,0,0,0,0,1,0,0,0,0,1,0,0
0.2,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2014,4,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2,2015,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2016,12,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2018,7,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2,2019,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2001,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.5,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
